year,month,week,ymw,date,topic,z_1,N
1945,12,49,1945-12-49,1945-12-05,0,53,81315
1945,12,49,1945-12-49,1945-12-06,0,52,84515
1945,12,49,1945-12-49,1945-12-07,0,54,78618
1945,12,49,1945-12-49,1945-12-08,0,66,80200
1945,12,49,1945-12-49,1945-12-09,0,27,73139
1945,12,50,1945-12-50,1945-12-10,0,43,72966
1945,12,50,1945-12-50,1945-12-11,0,62,76855
1945,12,50,1945-12-50,1945-12-12,0,90,81521
1945,12,50,1945-12-50,1945-12-13,0,48,77857
1945,12,50,1945-12-50,1945-12-14,0,37,79466
1945,12,50,1945-12-50,1945-12-15,0,60,74990
1945,12,50,1945-12-50,1945-12-16,0,38,73667
1945,12,51,1945-12-51,1945-12-17,0,43,78049
1945,12,51,1945-12-51,1945-12-18,0,39,76707
1945,12,51,1945-12-51,1945-12-19,0,59,77456
1945,12,51,1945-12-51,1945-12-20,0,52,88531
1945,12,51,1945-12-51,1945-12-21,0,43,79052
1945,12,51,1945-12-51,1945-12-22,0,49,81506
1945,12,51,1945-12-51,1945-12-23,0,38,82559
1945,12,52,1945-12-52,1945-12-24,0,18,36423
1945,12,52,1945-12-52,1945-12-26,0,42,37356
1945,12,52,1945-12-52,1945-12-27,0,44,80571
1945,12,52,1945-12-52,1945-12-28,0,55,74152
1945,12,52,1945-12-52,1945-12-29,0,37,76124
1945,12,52,1945-12-52,1945-12-30,0,87,76891
1945,12,53,1945-12-53,1945-12-31,0,26,79222
1946,1,1,1946-1-1,1946-01-02,0,44,80141
1946,1,1,1946-1-1,1946-01-03,0,49,76095
1946,1,1,1946-1-1,1946-01-04,0,37,73720
1946,1,1,1946-1-1,1946-01-05,0,51,81051
1946,1,1,1946-1-1,1946-01-06,0,55,84392
1946,1,1,1946-1-1,1946-01-07,0,29,74228
1946,1,2,1946-1-2,1946-01-08,0,43,72947
1946,1,2,1946-1-2,1946-01-09,0,63,76070
1946,1,2,1946-1-2,1946-01-10,0,50,73151
1946,1,2,1946-1-2,1946-01-11,0,59,78526
1946,1,2,1946-1-2,1946-01-12,0,40,83793
1946,1,2,1946-1-2,1946-01-13,0,61,73025
1946,1,2,1946-1-2,1946-01-14,0,44,74076
1946,1,3,1946-1-3,1946-01-15,0,51,78418
1946,1,3,1946-1-3,1946-01-16,0,65,71628
1946,1,3,1946-1-3,1946-01-17,0,28,77699
1946,1,3,1946-1-3,1946-01-18,0,61,73630
1946,1,3,1946-1-3,1946-01-19,0,80,85705
1946,1,3,1946-1-3,1946-01-20,0,34,75936
1946,1,3,1946-1-3,1946-01-21,0,31,73178
1946,1,4,1946-1-4,1946-01-22,0,53,70064
1946,1,4,1946-1-4,1946-01-23,0,48,78581
1946,1,4,1946-1-4,1946-01-24,0,45,76111
1946,1,4,1946-1-4,1946-01-25,0,66,78133
1946,1,4,1946-1-4,1946-01-26,0,39,82524
1946,1,4,1946-1-4,1946-01-27,0,34,67038
1946,1,4,1946-1-4,1946-01-28,0,34,78044
1946,1,5,1946-1-5,1946-01-29,0,50,80234
1946,1,5,1946-1-5,1946-01-30,0,29,72691
1946,1,5,1946-1-5,1946-01-31,0,80,76571
1946,2,5,1946-2-5,1946-02-01,0,29,77512
1946,2,5,1946-2-5,1946-02-02,0,35,83817
1946,2,5,1946-2-5,1946-02-03,0,54,69496
1946,2,5,1946-2-5,1946-02-04,0,30,72423
1946,2,6,1946-2-6,1946-02-05,0,35,75255
1946,2,6,1946-2-6,1946-02-06,0,36,69343
1946,2,6,1946-2-6,1946-02-07,0,42,78565
1946,2,6,1946-2-6,1946-02-08,0,30,74325
1946,2,6,1946-2-6,1946-02-09,0,57,84870
1946,2,6,1946-2-6,1946-02-10,0,60,78741
1946,2,6,1946-2-6,1946-02-11,0,36,71918
1946,2,7,1946-2-7,1946-02-12,0,39,78523
1946,2,7,1946-2-7,1946-02-13,0,65,73662
1946,2,7,1946-2-7,1946-02-14,0,41,74189
1946,2,7,1946-2-7,1946-02-15,0,48,74856
1946,2,7,1946-2-7,1946-02-16,0,36,79632
1946,2,7,1946-2-7,1946-02-17,0,50,75035
1946,2,7,1946-2-7,1946-02-18,0,44,75189
1946,2,8,1946-2-8,1946-02-19,0,51,76533
1946,2,8,1946-2-8,1946-02-20,0,40,75760
1946,2,8,1946-2-8,1946-02-21,0,33,78968
1946,2,8,1946-2-8,1946-02-22,0,26,78182
1946,2,8,1946-2-8,1946-02-23,0,27,79056
1946,2,8,1946-2-8,1946-02-24,0,32,72922
1946,2,8,1946-2-8,1946-02-25,0,18,72858
1946,2,9,1946-2-9,1946-02-26,0,56,77820
1946,2,9,1946-2-9,1946-02-27,0,23,74205
1946,2,9,1946-2-9,1946-02-28,0,31,77948
1946,3,9,1946-3-9,1946-03-01,0,47,72737
1946,3,9,1946-3-9,1946-03-02,0,42,82898
1946,3,9,1946-3-9,1946-03-03,0,27,81346
1946,3,9,1946-3-9,1946-03-04,0,18,68054
1946,3,10,1946-3-10,1946-03-05,0,38,73410
1946,3,10,1946-3-10,1946-03-06,0,76,76013
1946,3,10,1946-3-10,1946-03-07,0,24,80973
1946,3,10,1946-3-10,1946-03-08,0,32,71716
1946,3,10,1946-3-10,1946-03-09,0,19,80913
1946,3,10,1946-3-10,1946-03-10,0,40,88572
1946,3,10,1946-3-10,1946-03-11,0,29,65478
1946,3,11,1946-3-11,1946-03-12,0,20,74621
1946,3,11,1946-3-11,1946-03-13,0,47,78220
1946,3,11,1946-3-11,1946-03-14,0,14,80374
1946,3,11,1946-3-11,1946-03-15,0,39,77188
1946,3,11,1946-3-11,1946-03-16,0,63,81473
1946,3,11,1946-3-11,1946-03-17,0,30,83512
1946,3,11,1946-3-11,1946-03-18,0,19,72634
1946,3,12,1946-3-12,1946-03-19,0,41,81922
1946,3,12,1946-3-12,1946-03-20,0,38,74058
1946,3,12,1946-3-12,1946-03-21,0,41,76758
1946,3,12,1946-3-12,1946-03-22,0,46,77644
1946,3,12,1946-3-12,1946-03-23,0,32,76232
1946,3,12,1946-3-12,1946-03-24,0,23,50016
1946,3,12,1946-3-12,1946-03-25,0,21,34166
1946,3,13,1946-3-13,1946-03-26,0,36,77404
1946,3,13,1946-3-13,1946-03-27,0,23,69465
1946,3,13,1946-3-13,1946-03-28,0,45,72335
1946,3,13,1946-3-13,1946-03-29,0,39,72685
1946,3,13,1946-3-13,1946-03-30,0,45,76609
1946,3,13,1946-3-13,1946-03-31,0,21,75378
1946,4,13,1946-4-13,1946-04-01,0,16,74955
1946,4,14,1946-4-14,1946-04-02,0,29,76704
1946,4,14,1946-4-14,1946-04-03,0,20,78620
